자치구,행정동코드,X,Y
종로구,1111000000,126.9773213,37.59491732
중구,1114000000,126.9959681,37.56014356
용산구,1117000000,126.979907,37.53138497
성동구,1120000000,127.0410585,37.55102969
광진구,1121500000,127.0857435,37.54670608
동대문구,1123000000,127.0548481,37.58195655
중랑구,1126000000,127.0928803,37.59780259
성북구,1129000000,127.0175795,37.6057019
강북구,1130500000,127.011189,37.64347391
도봉구,1132000000,127.0323688,37.66910208
노원구,1135000000,127.0750347,37.65251105
은평구,1138000000,126.9270229,37.61921128
서대문구,1141000000,126.9390631,37.57778531
마포구,1144000000,126.90827,37.55931349
양천구,1147000000,126.8554777,37.52478941
강서구,1150000000,126.822807,37.56123543
구로구,1153000000,126.8563006,37.49440543
금천구,1154500000,126.9008202,37.46056756
영등포구,1156000000,126.9101695,37.52230829
동작구,1159000000,126.9516415,37.49887688
관악구,1162000000,126.9453372,37.46737569
서초구,1165000000,127.0312203,37.47329547
강남구,1168000000,127.0629852,37.49664389
송파구,1171000000,127.115295,37.50561924
강동구,1174000000,127.1470118,37.55045024
